ticker,Unnamed: 0,secID,exchangeCD,secShortName,tradeDate,listStatusCD,currencyCD,dailyReturnReinv,dailyReturnNoReinv,isChgPctl
300001,0,300001.XSHE,XSHE,特锐德,2015-02-27,S,CNY,,,0
300009,8,300009.XSHE,XSHE,安科生物,2015-02-27,S,CNY,,,0
300018,17,300018.XSHE,XSHE,中元股份,2015-02-27,S,CNY,,,0
300022,21,300022.XSHE,XSHE,吉峰科技,2015-02-27,S,CNY,,,0
300025,24,300025.XSHE,XSHE,华星创业,2015-02-27,S,CNY,,,0
300030,29,300030.XSHE,XSHE,阳普医疗,2015-02-27,S,CNY,,,0
300059,58,300059.XSHE,XSHE,东方财富,2015-02-27,S,CNY,,,0
300063,61,300063.XSHE,XSHE,天龙集团,2015-02-27,S,CNY,,,0
300071,69,300071.XSHE,XSHE,华谊嘉信,2015-02-27,S,CNY,,,0
300073,71,300073.XSHE,XSHE,当升科技,2015-02-27,S,CNY,,,0
300077,75,300077.XSHE,XSHE,国民技术,2015-02-27,S,CNY,,,0
300078,76,300078.XSHE,XSHE,思创医惠,2015-02-27,S,CNY,,,0
300081,79,300081.XSHE,XSHE,恒信东方,2015-02-27,S,CNY,,,0
300095,93,300095.XSHE,XSHE,华伍股份,2015-02-27,S,CNY,,,0
300098,96,300098.XSHE,XSHE,高新兴,2015-02-27,S,CNY,,,0
300110,108,300110.XSHE,XSHE,华仁药业,2015-02-27,S,CNY,,,0
300126,124,300126.XSHE,XSHE,锐奇股份,2015-02-27,S,CNY,,,0
300129,127,300129.XSHE,XSHE,泰胜风能,2015-02-27,S,CNY,,,0
300131,129,300131.XSHE,XSHE,英唐智控,2015-02-27,S,CNY,,,0
300141,139,300141.XSHE,XSHE,和顺电气,2015-02-27,S,CNY,,,0
300144,142,300144.XSHE,XSHE,宋城演艺,2015-02-27,S,CNY,,,0
300152,150,300152.XSHE,XSHE,科融环境,2015-02-27,S,CNY,,,0
300159,157,300159.XSHE,XSHE,新研股份,2015-02-27,S,CNY,,,0
300168,166,300168.XSHE,XSHE,万达信息,2015-02-27,S,CNY,,,0
300175,173,300175.XSHE,XSHE,朗源股份,2015-02-27,S,CNY,,,0
300181,179,300181.XSHE,XSHE,佐力药业,2015-02-27,S,CNY,,,0
300184,182,300184.XSHE,XSHE,力源信息,2015-02-27,S,CNY,,,0
300192,189,300192.XSHE,XSHE,科斯伍德,2015-02-27,S,CNY,,,0
300195,192,300195.XSHE,XSHE,长荣股份,2015-02-27,S,CNY,,,0
300201,198,300201.XSHE,XSHE,海伦哲,2015-02-27,S,CNY,,,0
300222,219,300222.XSHE,XSHE,科大智能,2015-02-27,S,CNY,,,0
300232,229,300232.XSHE,XSHE,洲明科技,2015-02-27,S,CNY,,,0
300233,230,300233.XSHE,XSHE,金城医药,2015-02-27,S,CNY,,,0
300243,240,300243.XSHE,XSHE,瑞丰高材,2015-02-27,S,CNY,,,0
300247,244,300247.XSHE,XSHE,融捷健康,2015-02-27,S,CNY,,,0
300288,285,300288.XSHE,XSHE,朗玛信息,2015-02-27,S,CNY,,,0
300322,319,300322.XSHE,XSHE,硕贝德,2015-02-27,S,CNY,,,0
300339,336,300339.XSHE,XSHE,润和软件,2015-02-27,S,CNY,,,0
300343,340,300343.XSHE,XSHE,联创互联,2015-02-27,S,CNY,,,0
300348,345,300348.XSHE,XSHE,长亮科技,2015-02-27,S,CNY,,,0
300362,358,300362.XSHE,XSHE,天翔环境,2015-02-27,S,CNY,,,0
300379,373,300379.XSHE,XSHE,东方通,2015-02-27,S,CNY,,,0
300390,384,300390.XSHE,XSHE,天华超净,2015-02-27,S,CNY,,,0
600035,444,600035.XSHG,XSHG,楚天高速,2015-02-27,S,CNY,,,0
600037,446,600037.XSHG,XSHG,歌华有线,2015-02-27,S,CNY,,,0
600076,475,600076.XSHG,XSHG,康欣新材,2015-02-27,S,CNY,,,0
600083,482,600083.XSHG,XSHG,博信股份,2015-02-27,S,CNY,,,0
600090,488,600090.XSHG,XSHG,同济堂,2015-02-27,S,CNY,,,0
600112,508,600112.XSHG,XSHG,ST天成,2015-02-27,S,CNY,,,0
600126,521,600126.XSHG,XSHG,杭钢股份,2015-02-27,S,CNY,,,0
600129,524,600129.XSHG,XSHG,太极集团,2015-02-27,S,CNY,,,0
600157,546,600157.XSHG,XSHG,永泰能源,2015-02-27,S,CNY,,,0
600179,566,600179.XSHG,XSHG,ST安通,2015-02-27,S,CNY,,,0
600189,575,600189.XSHG,XSHG,吉林森工,2015-02-27,S,CNY,,,0
600203,588,600203.XSHG,XSHG,福日电子,2015-02-27,S,CNY,,,0
600207,590,600207.XSHG,XSHG,安彩高科,2015-02-27,S,CNY,,,0
600212,595,600212.XSHG,XSHG,江泉实业,2015-02-27,S,CNY,,,0
600232,613,600232.XSHG,XSHG,金鹰股份,2015-02-27,S,CNY,,,0
600238,619,600238.XSHG,XSHG,ST椰岛,2015-02-27,S,CNY,,,0
600246,625,600246.XSHG,XSHG,万通地产,2015-02-27,S,CNY,,,0
600250,629,600250.XSHG,XSHG,南纺股份,2015-02-27,S,CNY,,,0
600293,665,600293.XSHG,XSHG,三峡新材,2015-02-27,S,CNY,,,0
600351,712,600351.XSHG,XSHG,亚宝药业,2015-02-27,S,CNY,,,0
600423,771,600423.XSHG,XSHG,*ST柳化,2015-02-27,S,CNY,,,0
600438,779,600438.XSHG,XSHG,通威股份,2015-02-27,S,CNY,,,0
600461,791,600461.XSHG,XSHG,洪城水业,2015-02-27,S,CNY,,,0
600475,799,600475.XSHG,XSHG,华光股份,2015-02-27,S,CNY,,,0
600481,805,600481.XSHG,XSHG,双良节能,2015-02-27,S,CNY,,,0
600503,824,600503.XSHG,XSHG,华丽家族,2015-02-27,S,CNY,,,0
600538,855,600538.XSHG,XSHG,国发股份,2015-02-27,S,CNY,,,0
600552,866,600552.XSHG,XSHG,凯盛科技,2015-02-27,S,CNY,,,0
600575,885,600575.XSHG,XSHG,皖江物流,2015-02-27,S,CNY,,,0
600623,931,600623.XSHG,XSHG,华谊集团,2015-02-27,S,CNY,,,0
600649,952,600649.XSHG,XSHG,城投控股,2015-02-27,S,CNY,,,0
600654,957,600654.XSHG,XSHG,*ST中安,2015-02-27,S,CNY,,,0
600667,968,600667.XSHG,XSHG,太极实业,2015-02-27,S,CNY,,,0
600677,975,600677.XSHG,XSHG,航天通信,2015-02-27,S,CNY,,,0
600679,977,600679.XSHG,XSHG,上海凤凰,2015-02-27,S,CNY,,,0
600687,984,600687.XSHG,XSHG,*ST刚泰,2015-02-27,S,CNY,,,0
600701,997,600701.XSHG,XSHG,*ST工新,2015-02-27,S,CNY,,,0
600714,1009,600714.XSHG,XSHG,金瑞矿业,2015-02-27,S,CNY,,,0
600725,1020,600725.XSHG,XSHG,ST云维,2015-02-27,S,CNY,,,0
600745,1040,600745.XSHG,XSHG,闻泰科技,2015-02-27,S,CNY,,,0
600747,1042,600747.XSHG,XSHG,*ST大控,2015-02-27,S,CNY,,,0
600749,1044,600749.XSHG,XSHG,西藏旅游,2015-02-27,S,CNY,,,0
600756,1050,600756.XSHG,XSHG,浪潮软件,2015-02-27,S,CNY,,,0
600759,1053,600759.XSHG,XSHG,洲际油气,2015-02-27,S,CNY,,,0
600766,1059,600766.XSHG,XSHG,园城黄金,2015-02-27,S,CNY,,,0
600777,1069,600777.XSHG,XSHG,新潮能源,2015-02-27,S,CNY,,,0
600797,1087,600797.XSHG,XSHG,浙大网新,2015-02-27,S,CNY,,,0
600804,1093,600804.XSHG,XSHG,鹏博士,2015-02-27,S,CNY,,,0
600817,1104,600817.XSHG,XSHG,ST宏盛,2015-02-27,S,CNY,,,0
600829,1116,600829.XSHG,XSHG,人民同泰,2015-02-27,S,CNY,,,0
600858,1140,600858.XSHG,XSHG,银座股份,2015-02-27,S,CNY,,,0
600870,1152,600870.XSHG,XSHG,ST厦华,2015-02-27,S,CNY,,,0
600962,1184,600962.XSHG,XSHG,国投中鲁,2015-02-27,S,CNY,,,0
601336,1273,601336.XSHG,XSHG,新华保险,2015-02-27,S,CNY,,,0
601608,1294,601608.XSHG,XSHG,中信重工,2015-02-27,S,CNY,,,0
603003,1352,603003.XSHG,XSHG,龙宇燃油,2015-02-27,S,CNY,,,0
603008,1355,603008.XSHG,XSHG,喜临门,2015-02-27,S,CNY,,,0
603969,1412,603969.XSHG,XSHG,银龙股份,2015-02-27,L,CNY,,,1
