,ticker,date,actual,pred
15821,603650,20190102,-0.07413011,0.135512635
7276,300010,20190102,-0.01790634,0.112603337
1459,717,20190102,0.06813187,0.106019013
1520,723,20190102,0.29595016,0.101417392
6205,2572,20190102,-0.09910448,0.098973289
1302,636,20190102,-0.04841713,0.09574011
3921,2217,20190102,0.27136752,0.088630743
1938,830,20190102,0.19591837,0.088503964
8266,300324,20190102,-0.06951872,0.084971353
5504,2426,20190102,0,0.083921641
8122,300297,20190102,-0.016,0.083110198
8876,600062,20190102,-0.10090984,0.08084023
6406,2607,20190102,0.13333333,0.075225338
11325,600525,20190102,-0.02739726,0.071950182
7628,300159,20190102,-0.00867679,0.069242895
5901,2491,20190102,-0.0177665,0.068675265
8161,300308,20190102,-0.05898255,0.067759231
14991,601811,20190102,0.11707841,0.067615256
6247,2573,20190102,-0.14542936,0.066495284
8226,300316,20190102,0.03193613,0.065974973
6322,2589,20190102,-0.09325681,0.065310553
3408,2110,20190102,0.10555121,0.063641131
5111,2384,20190102,-0.07085917,0.062821865
2299,932,20190102,0.14191419,0.061171602
3260,2078,20190102,0.05789474,0.060853206
666,426,20190102,0.18473896,0.060788825
7537,300115,20190102,-0.07692308,0.060490396
13984,600978,20190102,-0.14634146,0.058660876
10922,600460,20190102,0.21428571,0.058555789
11283,600521,20190102,-0.07052441,0.057918053
8765,600056,20190102,-0.02466189,0.05756291
9969,600282,20190102,0.03216374,0.057260182
8046,300274,20190102,0.23878924,0.056596912
7350,300027,20190102,-0.08315565,0.054859083
7705,300168,20190102,-0.14845705,0.053521898
4845,2366,20190102,0.28464819,0.052928526
1875,826,20190102,-0.11453321,0.052685153
11186,600507,20190102,0.08608609,0.051224142
9799,600260,20190102,-0.00648203,0.049112082
11755,600584,20190102,0.0788835,0.048844162
14661,601333,20190102,0.10759494,0.048491314
15425,603233,20190102,-0.03386854,0.048082348
787,513,20190102,0.08031809,0.047558878
2831,2002,20190102,0.17708333,0.047494989
7666,300166,20190102,0.14285714,0.046914671
2020,860,20190102,0.25117592,0.046706129
4169,2249,20190102,-0.01212121,0.046383083
6478,2640,20190102,0.0037037,0.045239601
6440,2635,20190102,-0.0988526,0.044582587
8464,600006,20190102,0.00833333,0.043766249
6616,2681,20190102,-0.05464481,0.042228121
14563,601231,20190102,0.06444444,0.0421184
7820,300199,20190102,-0.12955032,0.0421171
8994,600079,20190102,-0.07988166,0.041896816
7426,300058,20190102,-0.12442396,0.041612305
1598,732,20190102,-0.0342368,0.041072305
1809,807,20190102,-0.09020619,0.041039582
12826,600779,20190102,-0.06441427,0.040818576
825,519,20190102,0.00158983,0.040630698
10368,600348,20190102,0.00793651,0.040236678
2926,2028,20190102,0.01114488,0.038818825
7080,2839,20190102,0.05607477,0.038794447
10189,600316,20190102,0.01921132,0.038681533
14152,601003,20190102,0.07001522,0.038233459
12908,600787,20190102,0.01,0.03822976
2333,937,20190102,-0.01856764,0.037973903
6058,2507,20190102,0.06481481,0.036960475
12689,600759,20190102,0.05084746,0.036863327
6800,2709,20190102,0.17266851,0.036372308
1710,761,20190102,-0.01190476,0.035913851
867,528,20190102,0.0214168,0.035598628
6167,2544,20190102,-0.07116451,0.03541119
1378,685,20190102,0.03,0.035360932
926,537,20190102,-0.07076101,0.035264324
7050,2831,20190102,0.06090864,0.035127357
6872,2797,20190102,0.02214022,0.03488148
703,488,20190102,0.00713012,0.034741946
9171,600138,20190102,-0.0007758,0.03441108
16164,603939,20190102,0.04484412,0.034240004
6762,2707,20190102,-0.1693038,0.033623993
2375,959,20190102,0.02412869,0.033505503
7904,300244,20190102,-0.05405405,0.033358835
10327,600338,20190102,-0.05043747,0.03257319
13673,600885,20190102,0.11746454,0.032353342
8531,600017,20190102,0.01449275,0.032312993
13944,600971,20190102,0.02486679,0.031278767
9549,600179,20190102,-0.11278195,0.031227255
8192,300315,20190102,-0.14447592,0.031077944
2453,970,20190102,0.01500682,0.03098979
7577,300133,20190102,-0.27678571,0.030879011
978,543,20190102,0.06263048,0.030543808
1978,848,20190102,-0.03482587,0.030520588
11892,600623,20190102,-0.04950495,0.030043053
14711,601611,20190102,0.04134763,0.029963175
16008,603868,20190102,-0.03509691,0.029924836
14825,601699,20190102,0.04054054,0.029648274
1265,600,20190102,0.1752988,0.028618196
10292,600335,20190102,-0.03685897,0.028239453
629,401,20190102,0.04927302,0.027884772
4922,2371,20190102,0.2092161,0.0277752
6576,2672,20190102,-0.14685315,0.027647065
6364,2603,20190102,0.03059273,0.027537471
12868,600782,20190102,0.06679764,0.027403478
14432,601139,20190102,0.05214153,0.027365448
4252,2251,20190102,0.09838275,0.027338758
588,400,20190102,0.13160855,0.027277743
4694,2340,20190102,-0.0078125,0.027027208
8834,600060,20190102,-0.04723502,0.026975585
13025,600808,20190102,0.0433526,0.026958449
12578,600754,20190102,0.00375587,0.026765501
3341,2092,20190102,0.01702128,0.026627375
7109,2916,20190102,0.16963952,0.025992513
9840,600266,20190102,0.02146465,0.025504697
13631,600884,20190102,-0.00077399,0.025268283
745,501,20190102,0.03270042,0.025218291
15934,603816,20190102,0.07444444,0.025166463
14472,601168,20190102,-0.07044674,0.02515156
11584,600567,20190102,0.04807692,0.025104765
11022,600486,20190102,0.06479023,0.024894672
1767,778,20190102,-0.00232019,0.024725942
14246,601098,20190102,0.0536,0.024483638
14743,601678,20190102,-0.00473934,0.024460945
2104,877,20190102,0.11673699,0.024048632
13712,600895,20190102,-0.07692308,0.023964012
5696,2444,20190102,-0.08122363,0.023595151
13342,600859,20190102,0.05973451,0.023534153
7745,300182,20190102,-0.07226107,0.023452869
9748,600258,20190102,-0.06140351,0.023416033
10639,600409,20190102,-0.01748252,0.023289278
1223,598,20190102,0.05459057,0.023052499
13067,600820,20190102,0.02875399,0.022867259
2885,2019,20190102,-0.1635514,0.022776688
2989,2038,20190102,-0.02619911,0.022349471
264,60,20190102,0.01767677,0.021672862
7984,300257,20190102,0.05405405,0.021540929
10492,600376,20190102,0.01251739,0.021487784
5657,2440,20190102,0.04555556,0.021396859
7496,300113,20190102,-0.04012589,0.021394243
5567,2434,20190102,-0.12898331,0.020604901
1558,729,20190102,0.05496454,0.020420173
1845,813,20190102,-0.01633987,0.020322403
13151,600827,20190102,0.0295858,0.020134881
13109,600823,20190102,0.03989362,0.02007884
10796,600426,20190102,0.02236951,0.019969473
6654,2690,20190102,0.07095865,0.019950004
11435,600549,20190102,-0.02483444,0.019926194
9882,600267,20190102,-0.06197855,0.019877018
13417,600869,20190102,0.05154639,0.019535171
5433,2419,20190102,0.04193254,0.019510964
7862,300207,20190102,0.12572759,0.019308982
2749,998,20190102,-0.15405405,0.019105334
16074,603883,20190102,-0.00593095,0.018843915
15146,601958,20190102,0.02871622,0.018818272
2211,887,20190102,-0.07114625,0.018806675
10007,600291,20190102,0.07385811,0.01852598
13235,600839,20190102,0.01731602,0.018486833
11064,600497,20190102,0.0097561,0.018381504
322,62,20190102,0.02040816,0.0180771
5145,2385,20190102,-0.01875,0.01752156
9212,600141,20190102,-0.06122449,0.017167065
6841,2745,20190102,0.01062888,0.016887348
7385,300055,20190102,-0.13820078,0.016721571
9290,600151,20190102,-0.01010101,0.016309761
9711,600216,20190102,-0.02880184,0.016141506
9062,600098,20190102,-0.04063604,0.016091825
3029,2048,20190102,-0.00767018,0.015745338
15522,603369,20190102,0.19875776,0.015713515
4127,2244,20190102,-0.07286432,0.015490715
15046,601869,20190102,-0.0362082,0.015467546
5738,2463,20190102,0.13249651,0.015368911
4774,2353,20190102,0.138,0.01521435
7468,300088,20190102,0.05542169,0.015208777
5333,2408,20190102,-0.09210526,0.014930219
90,21,20190102,0.01391304,0.01476064
3170,2064,20190102,0.07398568,0.014715445
11391,600536,20190102,-0.01720019,0.014624462
14605,601311,20190102,-0.08267271,0.014556336
2527,980,20190102,-0.0669746,0.014529417
431,89,20190102,0.03594352,0.014352617
2561,983,20190102,-0.00546448,0.014124529
1045,552,20190102,0.00390625,0.013980237
13193,600835,20190102,0.13402062,0.013914747
3064,2049,20190102,0.04256055,0.013800045
4652,2332,20190102,-0.03099511,0.013590178
9669,600201,20190102,-0.1439759,0.01310362
12469,600745,20190102,-0.02792239,0.013097144
8636,600026,20190102,0.12612613,0.01308735
4543,2299,20190102,0.24244256,0.012993152
13902,600970,20190102,0.02193784,0.012895891
6280,2583,20190102,0.03168568,0.012759992
8367,300418,20190102,-0.00855365,0.012741205
7946,300253,20190102,-0.18539326,0.012673232
12229,600699,20190102,-0.0984589,0.01206207
158,28,20190102,-0.05526062,0.011439553
574,301,20190102,-0.10989011,0.011297983
7787,300197,20190102,-0.18469657,0.011231513
3245,2075,20190102,-0.15068493,0.011082039
8714,600039,20190102,-0.00304878,0.011039258
7140,2926,20190102,0.01792115,0.01050754
8914,600064,20190102,-0.05964467,0.010342017
1408,686,20190102,0.06070288,0.010222438
11105,600499,20190102,-0.02970297,0.010220974
9115,600125,20190102,0.00714286,0.010064066
7163,300001,20190102,-0.00741586,0.009905264
8444,300459,20190102,-0.04761905,0.009793104
10450,600373,20190102,-0.01998463,0.009700806
13458,600872,20190102,0.04650373,0.009382947
8504,600008,20190102,-0.03206997,0.009315354
6127,2517,20190102,-0.16981132,0.009300592
14866,601717,20190102,-0.01446655,0.009274487
4045,2233,20190102,0.05864811,0.009181221
2062,869,20190102,0.00076923,0.009151778
4610,2317,20190102,-0.07185629,0.008756609
2146,878,20190102,0.03278689,0.008613297
14784,601689,20190102,-0.04194858,0.008437612
14288,601100,20190102,0.18021201,0.007525031
1019,547,20190102,0.27777778,0.007387025
2638,988,20190102,-0.01842546,0.007117175
3614,2155,20190102,-0.03184713,0.006896756
12950,600801,20190102,0.07655502,0.006828249
14949,601801,20190102,-0.00149701,0.006761239
54,12,20190102,0.02255639,0.006509506
2790,999,20190102,-0.11182623,0.006340058
8676,600037,20190102,0.01862631,0.006294315
473,90,20190102,0.04130435,0.00627547
7234,300009,20190102,-0.06437126,0.006157077
10754,600418,20190102,-0.0997921,0.006126102
2495,975,20190102,-0.00490677,0.006042357
2679,990,20190102,-0.07826811,0.005977678
4815,2358,20190102,-0.01685393,0.005876583
8956,600073,20190102,-0.06174497,0.005825155
15188,601966,20190102,0.06080586,0.005774728
10714,600416,20190102,0.02713178,0.005690801
3382,2093,20190102,-0.04526749,0.005647652
13565,600879,20190102,0.04621072,0.005469457
13526,600875,20190102,0.17363752,0.005307232
9254,600143,20190102,-0.07474747,0.004983326
3890,2212,20190102,0.16097122,0.004901935
15633,603486,20190102,0.01585922,0.004651771
7019,2821,20190102,0.04642594,0.004320028
363,66,20190102,0.13080169,0.003725563
10410,600350,20190102,-0.06578947,0.003431591
14125,601001,20190102,-0.02107728,0.003366412
15663,603515,20190102,-0.03946896,0.003292189
12061,600643,20190102,-0.02237927,0.003207001
5933,2500,20190102,0.01858108,0.00283808
9421,600161,20190102,-0.06588235,0.002579681
4880,2368,20190102,-0.03146552,0.002558333
11674,600580,20190102,0.02063492,0.002474865
15850,603766,20190102,0.08557457,0.002420952
15645,603501,20190102,-0.03776795,0.002397734
11791,600597,20190102,-0.01076555,0.002350553
10107,600312,20190102,0,0.002072155
11951,600639,20190102,0.0035524,0.00206058
11516,600563,20190102,0.06786901,0.001299291
10534,600380,20190102,-0.05247376,0.001118263
14088,601000,20190102,0.02521008,0.001051691
3480,2128,20190102,0.04189944,0.000994437
6965,2815,20190102,-0.10335387,0.000768151
13860,600967,20190102,-0.08173077,0.000766209
4210,2250,20190102,-0.00530223,0.000338617
1640,738,20190102,0.00829187,0.000182719
394,78,20190102,0.00671141,6.14E-05
1337,681,20190102,-0.01543739,2.66E-05
10585,600392,20190102,-0.02787456,-2.64E-05
12654,600757,20190102,-0.0107362,-5.06E-05
3204,2074,20190102,0.05363322,-0.000326388
15484,603355,20190102,-0.01395349,-0.000408751
1913,829,20190102,-0.17290553,-0.000447125
5291,2407,20190102,0.00091241,-0.000789105
14330,601106,20190102,0.01498127,-0.001272412
6722,2701,20190102,-0.02766798,-0.001639779
15110,601928,20190102,-0.01763224,-0.001683007
5040,2375,20190102,0.06746032,-0.001722794
15374,603225,20190102,-0.13226667,-0.001848879
10676,600410,20190102,-0.06825939,-0.002390512
13277,600845,20190102,0.20863309,-0.002484755
7126,2920,20190102,0.18731988,-0.002788856
9379,600160,20190102,0.07239819,-0.002902183
10257,600329,20190102,0.03215434,-0.003130845
3961,2221,20190102,-0.01116625,-0.003591185
5779,2465,20190102,-0.02051282,-0.00366889
3726,2176,20190102,-0.14821124,-0.003765277
11617,600572,20190102,-0.02192243,-0.003946572
16046,603877,20190102,-0.12187334,-0.004518756
12364,600729,20190102,-0.02826855,-0.004807451
10149,600315,20190102,0.04139194,-0.004940485
15695,603517,20190102,0.13470251,-0.005127451
4735,2344,20190102,-0.05934066,-0.005161564
15297,603056,20190102,-0.10090634,-0.005406287
5251,2405,20190102,0.17434444,-0.005471836
9490,600167,20190102,0.11504425,-0.005877144
10838,600428,20190102,0.00307692,-0.006251879
11145,600500,20190102,-0.00877193,-0.00640276
12281,600717,20190102,0.02545969,-0.006453629
11911,600633,20190102,-0.07239264,-0.006605512
11833,600598,20190102,-0.05257009,-0.006623366
9627,600195,20190102,-0.02067669,-0.006759311
3768,2183,20190102,-0.15369261,-0.006946
10544,600388,20190102,0.09064039,-0.006961822
2276,930,20190102,-0.12668464,-0.007031118
5474,2424,20190102,-0.06628571,-0.007131705
14364,601127,20190102,-0.05367561,-0.007487536
5971,2503,20190102,-0.11489362,-0.007699362
12404,600737,20190102,-0.05978261,-0.008451591
15269,603025,20190102,-0.08609865,-0.00858079
3301,2085,20190102,-0.07354839,-0.008683088
14205,601016,20190102,0.02586207,-0.008732091
12191,600694,20190102,0.02563043,-0.008948969
4086,2242,20190102,0.05434104,-0.009081584
1162,581,20190102,0.07134768,-0.009551411
2417,960,20190102,0.06813417,-0.009698837
12021,600642,20190102,0.03483607,-0.009764227
15722,603556,20190102,-0.05384615,-0.010338422
11715,600582,20190102,-0.01169591,-0.010623536
3443,2127,20190102,0.2287234,-0.010642291
5814,2470,20190102,0.07278481,-0.010679758
3690,2174,20190102,-0.02259279,-0.011066235
14232,601019,20190102,0.02429668,-0.011260121
15057,601872,20190102,0.12466125,-0.011447596
4293,2254,20190102,-0.03228782,-0.012189046
5618,2439,20190102,0.07003891,-0.012206363
123,27,20190102,-0.03428571,-0.01226304
8409,300450,20190102,0.03662751,-0.012274365
13403,600863,20190102,0.00865801,-0.012519672
3534,2131,20190102,-0.12244898,-0.012577703
13750,600901,20190102,-0.06260575,-0.013475607
11474,600557,20190102,0.09241245,-0.013843158
5528,2431,20190102,0.06722689,-0.013950558
2710,997,20190102,0.02459016,-0.014147432
4357,2268,20190102,0.20548712,-0.014263052
10038,600298,20190102,-0.03131193,-0.014591445
196,31,20190102,0.0102459,-0.014628601
16114,603885,20190102,-0.03431764,-0.014687872
5851,2482,20190102,-0.12953368,-0.014733179
3808,2191,20190102,0.10371319,-0.0147553
222,39,20190102,0.05293006,-0.01496449
11228,600511,20190102,-0.02193548,-0.015670629
3515,2129,20190102,0.16320885,-0.016229944
14537,601200,20190102,-0.02336096,-0.016722335
2181,883,20190102,0.01089918,-0.016826315
10215,600325,20190102,0.08870968,-0.016871396
6988,2818,20190102,0.04665705,-0.01707452
14399,601128,20190102,0.05863192,-0.017084165
14184,601005,20190102,0.0257732,-0.017211465
1105,563,20190102,0.01492537,-0.017347118
8573,600021,20190102,0.03209877,-0.019059727
3098,2051,20190102,0.01444043,-0.019177722
5368,2414,20190102,-0.02598608,-0.019934654
9906,600277,20190102,0.05830389,-0.020298455
12322,600718,20190102,-0.14458874,-0.020331629
12497,600748,20190102,0.0411985,-0.020429118
15789,603569,20190102,-0.03069767,-0.020467039
15564,603377,20190102,-0.02671233,-0.02096918
1139,564,20190102,0,-0.021615164
4399,2273,20190102,-0.04079498,-0.022498356
4963,2372,20190102,0.11411992,-0.022877205
15966,603866,20190102,0.0989814,-0.023858128
12718,600763,20190102,0.08299979,-0.023946222
13825,600917,20190102,-0.06882022,-0.024042338
14025,600985,20190102,0.00860215,-0.024536619
4460,2281,20190102,-0.03201787,-0.024721911
15448,603328,20190102,0.05959596,-0.025711956
14647,601326,20190102,-0.06050955,-0.026068578
15338,603198,20190102,0.02551382,-0.027666913
15398,603228,20190102,-0.01560312,-0.027761385
5082,2382,20190102,-0.07671602,-0.027960934
3649,2157,20190102,0.21468927,-0.028499296
10880,600458,20190102,0.01032448,-0.028569223
15751,603568,20190102,-0.11553611,-0.029177299
10957,600466,20190102,0.03159851,-0.029774906
9585,600183,20190102,0.01093439,-0.030773422
15604,603444,20190102,0.02695946,-0.031416558
11363,600528,20190102,0.02380952,-0.032593202
4502,2285,20190102,-0.05905512,-0.034254145
15892,603806,20190102,0.11380597,-0.034471225
4003,2223,20190102,0.09127996,-0.035440706
3849,2195,20190102,-0.04878049,-0.035558809
12169,600673,20190102,0.16071429,-0.039084073
3572,2152,20190102,-0.06238859,-0.039361596
12788,600777,20190102,0.06806283,-0.040727045
15833,603659,20190102,-0.02763713,-0.043382343
13770,600908,20190102,0.04007634,-0.044323485
6937,2812,20190102,-0.06132362,-0.045005202
5005,2373,20190102,0.13219424,-0.052421924
5238,2399,20190102,-0.12407809,-0.053097624
8330,300383,20190102,0.16732439,-0.056783982